name,smiles,Tox-score,SAscore
TCM000699,C[C@@H]1CC[C@@H]2CC3=C(CCC[C@@H]4N=C(N)NC[C@H]4Cc4ccccc4)C(=O)C[C@@]31C2(C)C,0.29979516689038355,0.00792986671514509
TCM000709,CC1(C)[C@@H]2CC[C@H]3CC=C[C@H]4C(=O)C(CCCCN=C(N)N)=C(C2)[C@@]341,0.40710065660724504,0.008721059798313864
TCM000716,CC1=C2C[C@H]3C[C@H](CO)[C@H]4CC=C[C@@H](C1=O)[C@@]24C3(C)C,0.5434716370647364,0.006101941078068307
TCM000719,CNCC[C@@]1(C)[C@H]2CC3=C(C)C(=O)C[C@]31[C@H](C)[C@@H](CO)C2,0.4212735577644826,0.006512379845504442
TCM000734,CC1=C2C[C@H]3CC[C@@H](C)[C@]2(CC1=O)[C@@]3(C)CCc1ccc(O)cc1,0.4183710300901807,0.014277216737868574
TCM000738,CC1(C)[C@@H]2CC[C@H]3CCSSCCC4=C(C2)[C@]31CC4=O,0.5175913804443408,0.0046356354361317765
TCM000740,CC1=C2C[C@H]3CC[C@@H](C)[C@]2(CC1=O)[C@@]3(C)C1CCCCC1,0.48343150264636525,0.011848810350014024
TCM000790,CN/C(=N/CCCO)N[C@@H]1C#C[C@H]2CCC=C(Cc3cc4ccccc4[nH]3)[C@]23CC[C@@](C)(O)[C@H]2C[C@@H](O)[C@@](O)(C1)[C@H]2C3,0.3080635482319978,0.001851546414840655
TCM000829,C=C(Cc1cc2ccccc2[nH]1)[C@@H]1C[C@H]2[C@H](C[C@H](O)[C@@]2(O)CCN/C(=N\CCCO)NC)[C@@]2(O)CC=C[C@@H]1C2,0.30598032754571797,0.006888032749790825
TCM000856,C=C(Cc1cc2ccccc2[nH]1)[C@]12CC#C[C@H](NC(=N)NCCc3ccccc3)C[C@]3(O)CC[C@@H]([C@@H]3C1)[C@](C)(O)CC2,0.3150393972691485,0.004870289278305461
TCM000860,C=C(Cc1cc2ccccc2[nH]1)[C@H]1CC[C@@](C)(O)[C@H]2CC[C@@](O)(CCNC(=N)NC)[C@H]2C1,0.31053979179006913,0.02364085644856571
TCM000865,C=C(Cc1cc2ccccc2[nH]1)[C@H]1CC[C@@](C)(O)[C@H]2C[C@@H](O)[C@@](O)(CO)[C@H]2C1,0.38083409223079023,0.02794603419359058
